region_type,N_households,num_simulations,sampling_with_replacement,households_available,timestamps_available,mean_peak_kW,median_peak_kW,std_peak_kW,p5_peak_kW,p50_peak_kW,p95_peak_kW,mean_ADMD_kW_per_household,median_ADMD_kW_per_household,std_ADMD_kW_per_household,p5_ADMD_kW_per_household,p50_ADMD_kW_per_household,p95_ADMD_kW_per_household,mean_DF,median_DF,std_DF,p5_DF,p50_DF,p95_DF,mean_CF,median_CF,std_CF,p5_CF,p50_CF,p95_CF
city,1,2000,False,207,17519,4.983700442850901,4.124442674445454,2.792481634225843,1.8342390299018445,4.124442674445454,11.302993226365158,4.983700442850901,4.124442674445454,2.792481634225843,1.8342390299018445,4.124442674445454,11.302993226365158,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
city,2,2000,False,207,17519,7.531008687273198,6.725504074144471,3.3040610304126323,3.5788054930637068,6.725504074144471,13.90407729097011,3.765504343636599,3.3627520370722355,1.6520305152063162,1.7894027465318534,3.3627520370722355,6.952038645485055,1.352865028115717,1.3358045904023916,0.16351372815242565,1.1145714844570684,1.3358045904023916,1.651575452527552,0.7497485632463611,0.7486125044963927,0.08853406892147572,0.6054825800989682,0.7486125044963927,0.8972058243280946
city,3,2000,False,207,17519,9.803342920599224,9.031086765745465,3.5959928228815414,5.113369703988835,9.031086765745465,16.96712717480799,3.2677809735330743,3.0103622552484888,1.1986642742938471,1.7044565679962784,3.0103622552484888,5.65570905826933,1.5766880142283557,1.5618384445388949,0.2038162662263801,1.2728628100635888,1.5618384445388949,1.9304982301382179,0.6447672826722278,0.6402710914078955,0.08262421591292651,0.5180010057439057,0.6402710914078955,0.7856306210661778
city,5,2000,False,207,17519,13.461013795176012,12.779765533746062,4.102612977102361,7.983914850586134,12.779765533746062,21.046456511345095,2.6922027590352022,2.5559531067492123,0.8205225954204723,1.596782970117227,2.5559531067492123,4.209291302269019,1.9022193647930254,1.8871693538022891,0.26189038260250563,1.5039464725184886,1.8871693538022891,2.371818607102832,0.5357408729706358,0.5298941506598551,0.07412665144311932,0.42161743602875573,0.5298941506598551,0.6649172912764135
city,10,2000,False,207,17519,21.93504677275588,21.477084826963637,4.776357684394264,15.010102787117027,21.477084826963637,30.4266211924378,2.1935046772755875,2.1477084826963635,0.4776357684394264,1.5010102787117026,2.1477084826963635,3.0426621192437797,2.3267017987587795,2.30617403057083,0.2910004375039656,1.8890633095023601,2.30617403057083,2.841132890487636,0.4365264703300643,0.4336186197378225,0.054602693233329905,0.3519722725498071,0.4336186197378225,0.5293628833369598
city,15,2000,False,207,17519,29.74832494938953,29.381823104348065,5.1051895680728725,22.26039678604709,29.381823104348065,38.385616589954886,1.9832216632926356,1.9587882069565379,0.34034597120485816,1.4840264524031392,1.9587882069565379,2.5590411059969926,2.5658788797059815,2.5627305036796986,0.2869686672024409,2.10333868055838,2.5627305036796986,3.0365416350036813,0.39468656366543803,0.3902088234456995,0.044853714649251065,0.32932201468115374,0.3902088234456995,0.47543461070048676
city,20,2000,False,207,17519,37.682025381895215,37.422436855745765,5.631302219319916,29.419731095100925,37.422436855745765,47.622294122266986,1.884101269094761,1.8711218427872882,0.2815651109659958,1.470986554755046,1.8711218427872882,2.381114706113349,2.7046336557973056,2.6984275511868963,0.2752136043111391,2.257857881313671,2.6984275511868963,3.172296731999244,0.3736274440868657,0.37058619684812416,0.03859888115311556,0.3152290231624272,0.37058619684812416,0.4428976822862179
city,30,2000,False,207,17519,52.475055951715476,52.09555699380972,6.297440243872231,43.064891622537765,52.09555699380972,63.50790075924717,1.7491685317238495,1.7365185664603242,0.20991467479574102,1.4354963874179256,1.7365185664603242,2.116930025308239,2.8837673517768327,2.888868389493658,0.2531394419182011,2.471173366190409,2.888868389493658,3.293127284301054,0.34950582515559575,0.3461563026417539,0.03140866422852153,0.3036627235724168,0.3461563026417539,0.4046660641806555
city,40,2000,False,207,17519,67.47528821339488,67.16035292425958,6.748441972305201,57.36318428431616,67.16035292425958,79.31928668545495,1.6868822053348718,1.6790088231064897,0.16871104930763003,1.434079607107904,1.6790088231064897,1.9829821671363739,2.9810012096890994,2.9801678417684103,0.23901201479369838,2.5904026738198143,2.9801678417684103,3.3852590796763122,0.337646044843642,0.3355515801157915,0.02747484705682298,0.29539836880804776,0.3355515801157915,0.38604037039855127
city,50,2000,False,207,17519,82.28590417177539,81.81902068329069,7.115912347506785,71.0557038305906,81.81902068329069,94.46278031984745,1.6457180834355076,1.636380413665814,0.1423182469501357,1.4211140766118122,1.636380413665814,1.889255606396949,3.052521828467795,3.0537689352197237,0.22548820511676837,2.6735742325553717,3.0537689352197237,3.415805072347837,0.3294200259323785,0.3274642007021234,0.024792304703297786,0.2927567524738604,0.3274642007021234,0.3740311389353202
